landlordId,userId,companyName,totalProperties,verificationStatus
landlord_1,user_1,Landlord Corp 1,19,Verified
landlord_2,user_2,Landlord Corp 2,9,Pending
landlord_3,user_3,Landlord Corp 3,2,Verified
landlord_4,user_4,Landlord Corp 4,18,Verified
landlord_5,user_5,Landlord Corp 5,18,Verified
landlord_6,user_6,Landlord Corp 6,9,Verified
landlord_7,user_7,Landlord Corp 7,13,Pending
landlord_8,user_8,Landlord Corp 8,10,Pending
landlord_9,user_9,Landlord Corp 9,4,Verified
landlord_10,user_10,Landlord Corp 10,11,Pending
landlord_11,user_11,Landlord Corp 11,18,Verified
landlord_12,user_12,Landlord Corp 12,1,Verified
landlord_13,user_13,Landlord Corp 13,18,Verified
landlord_14,user_14,Landlord Corp 14,8,Verified
landlord_15,user_15,Landlord Corp 15,16,Pending
landlord_16,user_16,Landlord Corp 16,14,Pending
landlord_17,user_17,Landlord Corp 17,20,Verified
landlord_18,user_18,Landlord Corp 18,20,Pending
landlord_19,user_19,Landlord Corp 19,9,Pending
landlord_20,user_20,Landlord Corp 20,4,Verified
